disease_name,trigger_symptom,red_flag_weight,prior_probability_div2,Q1_onset,Q2_duration,Q3_severity_scale,Q4_frequency,Q5_course,Q6_modifiers,Q7_associated_symptoms,Q8_past_history,Q9_localization,Q10_assoc_swelling_redness_warmth,priority
Wilson's Disease,liver disease,0.7,0.0009,"Did the liver disease start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing liver disease? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the liver disease? [answer_type: numeric_scale | range: 1-10]","Is the liver disease constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the liver disease getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the liver disease better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with liver disease? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to liver disease? [answer_type: yes_no | options: yes, no]","Is the liver disease localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the liver disease? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",1
Wilson's Disease,neurological symptoms,0.7,0.0009,"Did the neurological symptoms start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing neurological symptoms? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the neurological symptoms? [answer_type: numeric_scale | range: 1-10]","Is the neurological symptoms constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the neurological symptoms getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the neurological symptoms better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with neurological symptoms? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to neurological symptoms? [answer_type: yes_no | options: yes, no]","Is the neurological symptoms localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the neurological symptoms? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.871428571
Wilson's Disease,behavioral changes,0.3,0.0009,"Did the behavioral changes start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing behavioral changes? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the behavioral changes? [answer_type: numeric_scale | range: 1-10]","Is the behavioral changes constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the behavioral changes getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the behavioral changes better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with behavioral changes? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to behavioral changes? [answer_type: yes_no | options: yes, no]","Is the behavioral changes localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the behavioral changes? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.742857143
Wilson's Disease,copper rings in eyes,0.4,0.0009,"Did the copper rings in eyes start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing copper rings in eyes? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the copper rings in eyes? [answer_type: numeric_scale | range: 1-10]","Is the copper rings in eyes constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the copper rings in eyes getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the copper rings in eyes better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with copper rings in eyes? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to copper rings in eyes? [answer_type: yes_no | options: yes, no]","Is the copper rings in eyes localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the copper rings in eyes? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.614285714
Wilson's Disease,jaundice,0.8,0.0009,"Did the jaundice start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing jaundice? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the jaundice? [answer_type: numeric_scale | range: 1-10]","Is the jaundice constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the jaundice getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the jaundice better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with jaundice? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to jaundice? [answer_type: yes_no | options: yes, no]","Is the jaundice localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the jaundice? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.485714286
Wilson's Disease,fatigue,0.5,0.0009,"Did the fatigue start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing fatigue? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the fatigue? [answer_type: numeric_scale | range: 1-10]","Is the fatigue constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the fatigue getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the fatigue better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with fatigue? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to fatigue? [answer_type: yes_no | options: yes, no]","Is the fatigue localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the fatigue? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.357142857
Wilson's Disease,difficulty speaking,0.9,0.0009,"Did the difficulty speaking start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing difficulty speaking? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the difficulty speaking? [answer_type: numeric_scale | range: 1-10]","Is the difficulty speaking constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the difficulty speaking getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the difficulty speaking better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with difficulty speaking? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to difficulty speaking? [answer_type: yes_no | options: yes, no]","Is the difficulty speaking localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the difficulty speaking? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.228571429
Wilson's Disease,tremors,0.3,0.0009,"Did the tremors start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing tremors? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the tremors? [answer_type: numeric_scale | range: 1-10]","Is the tremors constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the tremors getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the tremors better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with tremors? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to tremors? [answer_type: yes_no | options: yes, no]","Is the tremors localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the tremors? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.1
Whooping Cough,severe coughing,0.7,0.00135,"Did the severe coughing start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing severe coughing? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the severe coughing? [answer_type: numeric_scale | range: 1-10]","Is the severe coughing constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the severe coughing getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the severe coughing better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with severe coughing? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to severe coughing? [answer_type: yes_no | options: yes, no]","Is the severe coughing localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the severe coughing? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",1
Whooping Cough,whooping sound,0.7,0.00135,"Did the whooping sound start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing whooping sound? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the whooping sound? [answer_type: numeric_scale | range: 1-10]","Is the whooping sound constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the whooping sound getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the whooping sound better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with whooping sound? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to whooping sound? [answer_type: yes_no | options: yes, no]","Is the whooping sound localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the whooping sound? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.871428571
